Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,-0.057,0.201,1.912,684.864,hyp,km,None,None
3,-0.035,0.154,1.899,516.805,hyp,km,None,None
4,0.024,0.132,1.766,567.141,hyp,km,None,None
5,0.016,0.145,1.745,470.877,hyp,km,None,None
6,0.01,0.128,1.791,467.242,hyp,km,None,None
2,-0.05,0.304,1.747,477.175,hyp,agg,euclidean,ward
3,0.095,0.318,1.466,508.889,hyp,agg,euclidean,ward
4,0.034,0.092,1.946,467.772,hyp,agg,euclidean,ward
5,0.032,0.101,1.733,450.515,hyp,agg,euclidean,ward
6,0.016,0.102,1.847,437.629,hyp,agg,euclidean,ward
2,0.036,0.825,0.238,327.957,hyp,agg,euclidean,complete
3,0.027,0.646,0.499,265.572,hyp,agg,euclidean,complete
4,0.125,0.565,0.562,256.796,hyp,agg,euclidean,complete
5,0.085,0.405,0.705,281.487,hyp,agg,euclidean,complete
6,0.02,0.094,1.343,340.693,hyp,agg,euclidean,complete
2,0.036,0.825,0.238,327.957,hyp,agg,euclidean,average
3,0.027,0.64,0.504,268.351,hyp,agg,euclidean,average
4,0.109,0.578,0.551,256.274,hyp,agg,euclidean,average
5,0.109,0.574,0.531,194.067,hyp,agg,euclidean,average
6,0.109,0.556,0.553,158.621,hyp,agg,euclidean,average
2,0.036,0.825,0.238,327.957,hyp,agg,euclidean,single
3,0.035,0.744,0.217,178.203,hyp,agg,euclidean,single
4,0.034,0.744,0.217,140.311,hyp,agg,euclidean,single
5,0.034,0.671,0.219,109.689,hyp,agg,euclidean,single
6,0.033,0.492,0.268,89.045,hyp,agg,euclidean,single
